"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7216","12205",4,"12/01",2012-03-29,"Estland",7300,"GKV","6A002a3f","6","A","002a3f","Tracker"
"7217","12206",1,"12/02",2012-04-19,"Georgien",8092,"GKV","6A002a3f","6","A","002a3f","Tracker"
"7218","12207",1,"12/01",2012-03-30,"Russland",166133,"GKV","2B201a","2","B","201a","Tracker"
"7219","12208",1,"12/01",2012-03-30,"China",443000,"GKV","2B201b1","2","B","201b1","Tracker"
"7220","12209",1,"12/01",2012-03-30,"China",19500,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7221","12210",1,"12/01",2012-03-30,"China",387000,"GKV","2B201b1","2","B","201b1","Tracker"
"7222","12211",1,"12/01",2012-03-30,"Israel",76234,"GKV","3A001a10c","3","A","001a10c","Tracker"
"7223","12212",1,"12/01",2012-03-30,"Israel",64800,"GKV","3A001a10c","3","A","001a10c","Tracker"
"7224","12213",1,"12/01",2012-03-30,"Litauen",1300,"GKV","1C231","1","C","231","Tracker"
"7225","12214",1,"12/01",2012-03-30,"Kroatien",714625,"GKV","2B001a","2","B","001a","Tracker"
"7226","12214",2,"12/01",2012-03-30,"Kroatien",266750,"GKV","2B001a","2","B","001a","Tracker"
"7227","12215",1,"12/01",2012-03-30,"Weissrussland",13667,"GKV","4A003a","4","A","003a","Tracker"
"7228","12216",1,"12/02",2012-04-02,"Indien",259974,"GKV","2B001a","2","B","001a","Tracker"
"7229","12217",1,"12/02",2012-04-02,"Niederlande",25000,"GKV","0B001b14","0","B","001b14","Tracker"
"7230","12218",1,"12/02",2012-04-02,"Deutschland",2000,"5.1","5.1","1","","","Tracker"
"7231","12219",1,"12/02",2012-04-02,"Frankreich",1870,"ML (GKV)","10c2","10","c2","","Tracker"
"7232","12220",1,"12/02",2012-04-02,"Südafrika",13987,"GKV","2B350g2","2","B","350g2","Tracker"
"7233","12221",1,"12/02",2012-04-02,"Malta",27825,"GKV","7B003a","7","B","003a","Tracker"
"7234","12222",1,"12/02",2012-04-02,"Kuwait",1742020,"ML (GKV)","11","11","","","Tracker"
"7235","12223",1,"12/02",2012-04-03,"Frankreich",242,"5.1","5.1","1","","","Tracker"
"7236","12224",1,"12/02",2012-04-03,"Russland",330669,"GKV","2B201b1","2","B","201b1","Tracker"
"7237","12225",1,"12/02",2012-04-03,"Brasilien",2292,"GKV","2B350g2","2","B","350g2","Tracker"
"7238","12225",2,"12/02",2012-04-03,"Brasilien",8974,"GKV","2B350g2","2","B","350g2","Tracker"
"7239","12226",1,"12/02",2012-04-03,"Taiwan",56000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7240","12227",1,"12/02",2012-04-03,"Usbekistan",3345,"GKV","2B350g3","2","B","350g3","Tracker"
"7241","12228",1,"12/02",2012-04-03,"Hong Kong",19500,"GKV","3A001a2c","3","A","001a2c","Tracker"
